"DriveLetter","FileSystemLabel","FileSystem","SizeRemaining","Size"
,"","NTFS","85790720","558886912"
"J","Windows_11","NTFS","1056504131584","2000263647232"
,"","NTFS","88219648","558886912"
,"","FAT32","100642816","100663296"
,"ESP","FAT32","80004096","130023424"
"F","","NTFS","13797879808","119035392000"
,"","FAT32","72482816","100663296"
"E","WINDOWS10","NTFS","39608328192","138841944064"
,"","FAT32","71205888","100663296"
"C","","NTFS","28608200704","255376666624"
,"","NTFS","108789760","874508288"
,"","FAT32","65705984","100663296"
"D","","NTFS","20213473280","180324839424"
